oID	descriptor	value	sigma
3314	ACID	1.875	7.8188
5862	ACID	9.3864	18.929
5962	ACID	19	31.401
6274	ACID	10.071	17.733
6322	ACID	5.9412	15.939
6506	ACID	5.2432	14.293
6544	ACID	4.8889	13.275
6561	ACID	14.673	23.794
6669	ACID	3.2857	12.112
7092	ACID	7.3191	18.053
7137	ACID	1.9091	8.1149
7302	ACID	0.73684	3.0904
7476	ACID	4.4694	12.253
7559	ACID	7.0204	17.193
7657	ACID	5	15.674
7770	ACID	2.2857	8.1599
7793	ACID	6.4898	13.702
7797	ACID	3.913	12.406
8025	ACID	6.2051	17.33
8049	ACID	1.9318	9.3694
8094	ACID	6.9184	14.272
8419	ACID	0.97917	6.7839
8438	ACID	1.6531	7.5624
8468	ACID	4.0444	13.225
8815	ACID	3.9149	11.905
8878	ACID	1.9792	8.3577
9012	ACID	6.6875	14.686
10886	ACID	8.3542	20.404
11567	ACID	9.8125	21.112
12020	ACID	11.55	25.277
12265	ACID	3.0208	12.464
12377	ACID	6.1429	16.593
15654	ACID	15.143	27.44
16537	ACID	3.7436	14.422
17898	ACID	5.5306	17.188
18467	ACID	5.6522	17.54
21363	ACID	8.5435	19.636
27440	ACID	15.511	25.426
31219	ACID	3.2143	13.348
31276	ACID	4.7674	18.569
31283	ACID	7.55	16.534
60998	ACID	3.4091	12.513
61523	ACID	4.7111	16.468
62089	ACID	7.4583	16.275
62351	ACID	6.6042	15.581
62465	ACID	6.7292	14.715
251531	ACID	3.6279	11.326
440917	ACID	0.25714	1.3578
637758	ACID	4.907	12.545
853433	ACID	1.2245	6.2057
1549025	ACID	3.2128	7.3749
2733294	ACID	8.9787	17.656
5281167	ACID	2.3061	9.7301
5281168	ACID	8.5319	20.646
5318599	ACID	10.083	21.336
5352837	ACID	3.3333	11.322
5364231	ACID	2.6122	14.431
5371102	ACID	7.186	19.079
10857465	ACID	4.3261	13.75
180	WARM	10.031	20.698
262	WARM	10.353	23.7
264	WARM	6.6735	18.661
323	WARM	9.2653	21.554
702	WARM	0.79167	3.0925
750	WARM	7	18.201
753	WARM	0	0
962	WARM	2.6	10.859
1031	WARM	2.1333	10.766
3102	WARM	4.8542	15.212
3314	WARM	9.2708	21.286
5862	WARM	3.0227	13.246
5962	WARM	5.375	16.754
6274	WARM	10.857	21.859
6322	WARM	8.3529	19.144
6506	WARM	10.892	25.631
6544	WARM	5.3556	17.995
6561	WARM	4.4898	16.197
6669	WARM	7.8571	21.486
7092	WARM	8.4894	24.824
7137	WARM	7.8409	16.595
7302	WARM	8.8158	20.845
7476	WARM	10.776	24.364
7559	WARM	4.6939	13.796
7657	WARM	8.1633	23.378
7770	WARM	5.3061	18.462
7793	WARM	5	15.159
7797	WARM	4.6739	14.519
8025	WARM	4.9487	18.848
8049	WARM	6.5227	22.688
8094	WARM	7.3061	18.763
8419	WARM	13.396	26.527
8438	WARM	10.204	24.042
8468	WARM	11.6	23.405
8815	WARM	6.1702	18.064
8878	WARM	8.4583	19.932
9012	WARM	5.5208	12.899
10886	WARM	4.3125	13.459
11567	WARM	4.7292	17.034
12020	WARM	6.825	19.829
12265	WARM	13.75	25.867
12377	WARM	7.9184	18.652
15654	WARM	4.3061	13.01
16537	WARM	2.2564	6.9952
17898	WARM	8.1633	21.904
18467	WARM	9.6739	21.031
21363	WARM	9.6522	22.931
27440	WARM	5.8298	17.796
31219	WARM	5.4524	16.278
31276	WARM	4.8837	15.494
31283	WARM	7.65	15.825
60998	WARM	9.2273	22.649
61523	WARM	6.1111	17.99
62089	WARM	5.6875	17.425
62351	WARM	6.6458	14.802
62465	WARM	11.833	26.321
251531	WARM	7.3023	22.071
440917	WARM	2.0571	11.997
637758	WARM	3.5814	12.195
853433	WARM	18.184	32.549
1549025	WARM	2.1702	8.7609
2733294	WARM	3.766	14.051
5281167	WARM	1.9388	12.008
5281168	WARM	3.7447	16.683
5318599	WARM	2.75	9.4857
5352837	WARM	5.5833	18.423
5364231	WARM	7.7143	23.58
5371102	WARM	3.907	15.93
10857465	WARM	8.6522	21.255
180	MUSKY	7.5312	21.706
262	MUSKY	10.441	21.872
264	MUSKY	20.449	31.468
323	MUSKY	1.6735	6.9504
702	MUSKY	6.1667	18.203
750	MUSKY	6.5952	18.733
753	MUSKY	9.8571	20.699
962	MUSKY	4.44	15.022
1031	MUSKY	12.2	21.889
3102	MUSKY	5.3125	18.483
3314	MUSKY	1.1458	6.9619
5862	MUSKY	13.977	28.343
5962	MUSKY	14.729	27.171
6274	MUSKY	11.476	20.834
6322	MUSKY	4.2941	10.821
6506	MUSKY	3.3514	8.9883
6544	MUSKY	4.0444	16.141
6561	MUSKY	11.98	24.348
6669	MUSKY	7	20.117
7092	MUSKY	16.766	30.477
7137	MUSKY	2.3182	9.8022
7302	MUSKY	15.658	24.044
7476	MUSKY	6.1837	19.194
7559	MUSKY	14.224	27.345
7657	MUSKY	2.6327	9.776
7770	MUSKY	8.449	19.497
7793	MUSKY	2.5102	8.0987
7797	MUSKY	1.3913	7.684
8025	MUSKY	8.8462	18.703
8049	MUSKY	1.5227	9.0669
8094	MUSKY	17.061	27.359
8419	MUSKY	0.20833	1.4434
8438	MUSKY	2.7959	8.8105
8468	MUSKY	5.5333	16.696
8815	MUSKY	2.0213	7.8615
8878	MUSKY	1.3333	4.9822
9012	MUSKY	8.3125	18.431
10886	MUSKY	10.146	23.122
11567	MUSKY	3.2917	13.986
12020	MUSKY	5.6	12.411
12265	MUSKY	11.208	20.414
12377	MUSKY	6.3673	16.952
15654	MUSKY	5.1633	16.839
16537	MUSKY	14	27.121
17898	MUSKY	12.102	24.134
18467	MUSKY	13.522	26.713
21363	MUSKY	18.587	29.679
27440	MUSKY	10.957	25.312
31219	MUSKY	2.3333	9.1403
31276	MUSKY	7.2791	20.082
31283	MUSKY	8.65	20.868
60998	MUSKY	8.1818	17.936
61523	MUSKY	8.8222	22.982
62089	MUSKY	24.188	33.5
62351	MUSKY	5.9583	14.518
62465	MUSKY	6.25	18.368
251531	MUSKY	3.7907	11.565
440917	MUSKY	4.0571	11.857
637758	MUSKY	2.4651	9.755
853433	MUSKY	4.3265	15.357
1549025	MUSKY	2.4468	8.2904
2733294	MUSKY	9.2766	20.822
5281167	MUSKY	3.2449	12.436
5281168	MUSKY	18.511	31.834
5318599	MUSKY	4.625	12.299
5352837	MUSKY	1.2708	5.3742
5364231	MUSKY	1.7959	7.8687
5371102	MUSKY	2.9302	7.8812
10857465	MUSKY	10.848	21.525
180	SWEATY	0.03125	0.17678
262	SWEATY	8.1765	25.098
264	SWEATY	19.327	31.367
323	SWEATY	1.6122	7.9236
702	SWEATY	3.125	14.683
750	SWEATY	1.3095	5.2891
753	SWEATY	3.5	9.3706
962	SWEATY	0.76	3.5972
1031	SWEATY	0.73333	3.0278
3102	SWEATY	0.8125	3.8463
3314	SWEATY	0.54167	3.6083
5862	SWEATY	5.5909	14.685
5962	SWEATY	10.917	24.876
6274	SWEATY	5.9524	17.542
6322	SWEATY	4.5882	17.913
6506	SWEATY	4.9189	13.895
6544	SWEATY	0.48889	2.9819
6561	SWEATY	8.9592	23.813
6669	SWEATY	1.1667	5.0312
7092	SWEATY	5.4255	18.505
7137	SWEATY	0.045455	0.21071
7302	SWEATY	16.684	28.333
7476	SWEATY	0.65306	4.4279
7559	SWEATY	6.8571	20.125
7657	SWEATY	0.79592	4.1331
7770	SWEATY	4.4286	12.981
7793	SWEATY	3.3265	15.288
7797	SWEATY	0.021739	0.14744
8025	SWEATY	2	10.149
8049	SWEATY	1.7727	11.606
8094	SWEATY	10.837	21.738
8419	SWEATY	0.041667	0.28868
8438	SWEATY	0.69388	3.3116
8468	SWEATY	1.2444	5.6252
8815	SWEATY	0.042553	0.29173
8878	SWEATY	1.0833	5.1316
9012	SWEATY	2.3542	10.824
10886	SWEATY	3.7292	15.336
11567	SWEATY	3.7708	16.53
12020	SWEATY	2.825	8.9411
12265	SWEATY	7.0417	20.053
12377	SWEATY	4.0816	14.86
15654	SWEATY	1.1224	4.2014
16537	SWEATY	8.5128	20.445
17898	SWEATY	4.7755	17.666
18467	SWEATY	6.0652	18.332
21363	SWEATY	21.304	33.272
27440	SWEATY	8.1915	19.238
31219	SWEATY	0	0
31276	SWEATY	2.3488	15.247
31283	SWEATY	8.1	20.117
60998	SWEATY	6.25	17.302
61523	SWEATY	2.2	10.533
62089	SWEATY	11.688	27.757
62351	SWEATY	2.75	10.84
62465	SWEATY	0.22917	1.3086
251531	SWEATY	1.5116	7.3009
440917	SWEATY	2.4	14.026
637758	SWEATY	1.2326	7.9278
853433	SWEATY	0.34694	2.2872
1549025	SWEATY	0.06383	0.32332
2733294	SWEATY	5.1915	15.4
5281167	SWEATY	1.7551	7.3301
5281168	SWEATY	9.8511	24.434
5318599	SWEATY	3.8333	15.856
5352837	SWEATY	0.33333	2.1668
5364231	SWEATY	0.63265	4.0036
5371102	SWEATY	0.88372	5.6409
10857465	SWEATY	1.2609	3.7383
180	AMMONIA/URINOUS	5.2812	17.005
262	AMMONIA/URINOUS	1.3824	7.8856
264	AMMONIA/URINOUS	14.265	30.014
323	AMMONIA/URINOUS	2.4082	9.65
702	AMMONIA/URINOUS	0.083333	0.40825
750	AMMONIA/URINOUS	4.9286	16.59
753	AMMONIA/URINOUS	0.78571	2.9399
962	AMMONIA/URINOUS	2.68	13.193
1031	AMMONIA/URINOUS	4.1	9.8623
3102	AMMONIA/URINOUS	5.8542	15.353
3314	AMMONIA/URINOUS	2.125	10.199
5862	AMMONIA/URINOUS	13.068	28.6
5962	AMMONIA/URINOUS	29.833	41.38
6274	AMMONIA/URINOUS	7.5714	20.366
6322	AMMONIA/URINOUS	4.1176	14.603
6506	AMMONIA/URINOUS	6.5405	18.295
6544	AMMONIA/URINOUS	3.8667	15.559
6561	AMMONIA/URINOUS	13.98	28.445
6669	AMMONIA/URINOUS	1.9524	8.5396
7092	AMMONIA/URINOUS	4.9149	15.655
7137	AMMONIA/URINOUS	1.3182	6.5264
7302	AMMONIA/URINOUS	9.1316	23.283
7476	AMMONIA/URINOUS	4.6122	16.869
7559	AMMONIA/URINOUS	10.612	24.666
7657	AMMONIA/URINOUS	4.0816	17.246
7770	AMMONIA/URINOUS	7.7755	23.374
7793	AMMONIA/URINOUS	6.3265	19.678
7797	AMMONIA/URINOUS	2.2826	8.788
8025	AMMONIA/URINOUS	7.8205	24.08
8049	AMMONIA/URINOUS	1.0455	6.4806
8094	AMMONIA/URINOUS	10.184	22.645
8419	AMMONIA/URINOUS	0.5	2.7211
8438	AMMONIA/URINOUS	0.65306	3.231
8468	AMMONIA/URINOUS	1.8444	11.92
8815	AMMONIA/URINOUS	3.5745	14.278
8878	AMMONIA/URINOUS	0.083333	0.45351
9012	AMMONIA/URINOUS	7.9167	19.34
10886	AMMONIA/URINOUS	4.4792	15.269
11567	AMMONIA/URINOUS	7.4375	21.504
12020	AMMONIA/URINOUS	3.3	11.947
12265	AMMONIA/URINOUS	2.8333	12.972
12377	AMMONIA/URINOUS	6.5102	21.042
15654	AMMONIA/URINOUS	12.286	26.04
16537	AMMONIA/URINOUS	17.308	32.897
17898	AMMONIA/URINOUS	6.4286	20.97
18467	AMMONIA/URINOUS	4.8696	13.864
21363	AMMONIA/URINOUS	12.022	27.671
27440	AMMONIA/URINOUS	16.83	30.334
31219	AMMONIA/URINOUS	1.4048	6.4734
31276	AMMONIA/URINOUS	0.023256	0.1525
31283	AMMONIA/URINOUS	5.5	18.146
60998	AMMONIA/URINOUS	5.8864	19.636
61523	AMMONIA/URINOUS	3.3333	12.089
62089	AMMONIA/URINOUS	4.8542	15.948
62351	AMMONIA/URINOUS	10.083	25.16
62465	AMMONIA/URINOUS	3.2083	12.996
251531	AMMONIA/URINOUS	3.5581	12.962
440917	AMMONIA/URINOUS	0.97143	5.5756
637758	AMMONIA/URINOUS	4.7442	15.286
853433	AMMONIA/URINOUS	0.020408	0.14286
1549025	AMMONIA/URINOUS	2.1277	8.4663
2733294	AMMONIA/URINOUS	1.5532	6.5734
5281167	AMMONIA/URINOUS	4.2041	13.681
5281168	AMMONIA/URINOUS	3.617	8.1948
5318599	AMMONIA/URINOUS	6.9375	18.035
5352837	AMMONIA/URINOUS	1.125	6.9485
5364231	AMMONIA/URINOUS	0.61224	3.999
5371102	AMMONIA/URINOUS	3.6047	14.048
10857465	AMMONIA/URINOUS	5.0652	16.929
180	DECAYED	6.2188	18.386
262	DECAYED	8.2059	23.509
264	DECAYED	16.735	28.053
323	DECAYED	0.69388	4.7135
702	DECAYED	0	0
750	DECAYED	0.47619	2.9321
753	DECAYED	3.6429	13.63
962	DECAYED	0.56	2.5994
1031	DECAYED	2.8333	13.729
3102	DECAYED	3.6667	12.965
3314	DECAYED	1.5833	7.8736
5862	DECAYED	32.886	42.052
5962	DECAYED	13.854	26.97
6274	DECAYED	7.9762	20.97
6322	DECAYED	0.70588	2.2573
6506	DECAYED	0.67568	3.7863
6544	DECAYED	2.9556	11.292
6561	DECAYED	10.714	21.988
6669	DECAYED	1.0238	4.6981
7092	DECAYED	5.1702	16.152
7137	DECAYED	0.61364	2.3842
7302	DECAYED	13.395	26.328
7476	DECAYED	0.55102	2.3369
7559	DECAYED	6.9184	16.929
7657	DECAYED	2.5918	12.608
7770	DECAYED	8.3265	22.561
7793	DECAYED	3.449	14.226
7797	DECAYED	1.8043	9.6393
8025	DECAYED	4.0513	17.082
8049	DECAYED	3.2727	16.267
8094	DECAYED	13.224	27.743
8419	DECAYED	3.6667	17.681
8438	DECAYED	0.020408	0.14286
8468	DECAYED	1.3333	7.2363
8815	DECAYED	0.12766	0.74065
8878	DECAYED	1.3542	8.675
9012	DECAYED	6.7708	17.792
10886	DECAYED	3.625	15.16
11567	DECAYED	0.8125	3.2463
12020	DECAYED	3.65	14.341
12265	DECAYED	2.2917	8.4399
12377	DECAYED	7.3673	22.703
15654	DECAYED	11.041	25.109
16537	DECAYED	11.103	24.345
17898	DECAYED	9.2245	24.094
18467	DECAYED	3.2174	15.035
21363	DECAYED	4.7174	12.473
27440	DECAYED	7.8085	18.791
31219	DECAYED	2.1667	10.418
31276	DECAYED	0.069767	0.33773
31283	DECAYED	4.975	19.904
60998	DECAYED	8.4318	23.039
61523	DECAYED	0.11111	0.61134
62089	DECAYED	3.7917	13.037
62351	DECAYED	12.812	27.599
62465	DECAYED	2.9792	11.94
251531	DECAYED	2.0465	6.4141
440917	DECAYED	0.88571	3.8407
637758	DECAYED	5.6047	21.076
853433	DECAYED	0.73469	3.4987
1549025	DECAYED	3.0851	10.968
2733294	DECAYED	3.1277	10.41
5281167	DECAYED	1.7347	8.2885
5281168	DECAYED	4.9574	17.225
5318599	DECAYED	4.8542	13.334
5352837	DECAYED	2.0208	12.208
5364231	DECAYED	0.55102	2.7918
5371102	DECAYED	3	13.466
10857465	DECAYED	0.52174	1.9859
180	WOOD	8.625	20.297
262	WOOD	0.029412	0.1715
264	WOOD	4.5714	16.7
323	WOOD	1.6531	11.426
702	WOOD	0.33333	1.633
750	WOOD	2.9048	10.135
753	WOOD	5	14.734
962	WOOD	3.92	13.647
1031	WOOD	1.0667	4.2825
3102	WOOD	7.4583	21.694
3314	WOOD	2.8542	11.738
5862	WOOD	0	0
5962	WOOD	1.8125	12.411
6274	WOOD	2.4048	8.5141
6322	WOOD	0.41176	1.1757
6506	WOOD	1.2432	5.7465
6544	WOOD	4.1778	16.588
6561	WOOD	3.0408	12.873
6669	WOOD	1.1667	5.6823
7092	WOOD	4.8723	16.199
7137	WOOD	5.1136	17.977
7302	WOOD	2.5	9.4347
7476	WOOD	3.8571	13.23
7559	WOOD	2.551	7.1329
7657	WOOD	4.449	17.965
7770	WOOD	0.5102	2.8876
7793	WOOD	2.2449	11.056
7797	WOOD	0.54348	2.5096
8025	WOOD	2.9744	16.014
8049	WOOD	0.65909	4.2203
8094	WOOD	9.449	25.933
8419	WOOD	1.3125	5.2961
8438	WOOD	1.3061	5.8317
8468	WOOD	3.3111	11.235
8815	WOOD	0.23404	1.1649
8878	WOOD	2.2292	14.448
9012	WOOD	5.5625	17.274
10886	WOOD	1.7083	5.4028
11567	WOOD	2.375	8.8381
12020	WOOD	5.175	18.644
12265	WOOD	1.6042	6.7595
12377	WOOD	1.0816	4.6136
15654	WOOD	2.4286	14.46
16537	WOOD	0.4359	2.7222
17898	WOOD	9.7755	25.376
18467	WOOD	4.5435	14.866
21363	WOOD	2.3043	8.4007
27440	WOOD	0.021277	0.14586
31219	WOOD	1.2143	5.8081
31276	WOOD	0.023256	0.1525
31283	WOOD	1.35	7.2202
60998	WOOD	5	12.353
61523	WOOD	5.2222	20.903
62089	WOOD	12.021	29.102
62351	WOOD	1.0417	7.0709
62465	WOOD	12.729	28.679
251531	WOOD	0.48837	2.354
440917	WOOD	1.5143	7.6864
637758	WOOD	0.023256	0.1525
853433	WOOD	4.3265	17.926
1549025	WOOD	2.1277	10.402
2733294	WOOD	3.6383	13.223
5281167	WOOD	1.6531	7.3358
5281168	WOOD	1.1915	7.873
5318599	WOOD	5.2083	16.654
5352837	WOOD	2.0417	7.9089
5364231	WOOD	3.6122	11.401
5371102	WOOD	3.4651	13.627
10857465	WOOD	11.783	28.774
180	GRASS	6.5938	19.294
262	GRASS	0.029412	0.1715
264	GRASS	1.102	7.7143
323	GRASS	1.449	9.998
702	GRASS	0.91667	3.729
750	GRASS	0.61905	2.8793
753	GRASS	13	28.11
962	GRASS	12.48	28.305
1031	GRASS	4.1	16.983
3102	GRASS	2.1042	14.431
3314	GRASS	0.58333	3.0376
5862	GRASS	1.5682	10.402
5962	GRASS	0.020833	0.14434
6274	GRASS	0.30952	1.2589
6322	GRASS	7.4118	21.769
6506	GRASS	1.0541	4.6004
6544	GRASS	4.2667	14.258
6561	GRASS	1.5918	6.6424
6669	GRASS	2.4048	9.5944
7092	GRASS	2.1277	7.9389
7137	GRASS	1.3864	9.0431
7302	GRASS	0.97368	3.6129
7476	GRASS	3.0204	9.9551
7559	GRASS	3.8367	15.51
7657	GRASS	0.59184	2.8644
7770	GRASS	1.2449	5.566
7793	GRASS	3.8367	15.27
7797	GRASS	3.2174	15.014
8025	GRASS	6.3846	18.661
8049	GRASS	4.9318	17.057
8094	GRASS	0.4898	2.3552
8419	GRASS	3.625	16.579
8438	GRASS	0.79592	5.4275
8468	GRASS	1.4222	8.0042
8815	GRASS	6.234	20.747
8878	GRASS	3.5417	12.327
9012	GRASS	3.6875	15.944
10886	GRASS	1.6875	7.6885
11567	GRASS	2.9167	13.486
12020	GRASS	1.475	6.7709
12265	GRASS	0.25	1.5912
12377	GRASS	1.8776	9.2616
15654	GRASS	2.8367	11.063
16537	GRASS	4.1795	14.5
17898	GRASS	5.1429	17.778
18467	GRASS	0.021739	0.14744
21363	GRASS	1.1739	6.1583
27440	GRASS	0.021277	0.14586
31219	GRASS	0.80952	5.2463
31276	GRASS	3.6744	15.198
31283	GRASS	0.55	2.7823
60998	GRASS	3.1136	9.6285
61523	GRASS	6.7556	16.026
62089	GRASS	0.75	4.1795
62351	GRASS	3.875	12.931
62465	GRASS	1.1042	4.5159
251531	GRASS	2.6744	15.262
440917	GRASS	0	0
637758	GRASS	2.2326	10.249
853433	GRASS	1.3061	5.3975
1549025	GRASS	2.4043	12.045
2733294	GRASS	3.9149	16.499
5281167	GRASS	47.286	46.881
5281168	GRASS	4.1277	15.728
5318599	GRASS	5.7917	20.475
5352837	GRASS	9.8125	23.837
5364231	GRASS	28.837	37.354
5371102	GRASS	6.0465	17.281
10857465	GRASS	5.5652	19.824
180	FLOWER	12.625	25.867
262	FLOWER	3.4706	17.303
264	FLOWER	0.93878	5.5242
323	FLOWER	11.306	26.651
702	FLOWER	1.0833	5.3072
750	FLOWER	8.8571	22.26
753	FLOWER	7.7857	26.649
962	FLOWER	5.12	11.734
1031	FLOWER	3.2667	12.873
3102	FLOWER	3.125	13.507
3314	FLOWER	7.5833	17.357
5862	FLOWER	2.2727	15.076
5962	FLOWER	1.0833	6.9308
6274	FLOWER	2.1667	10.051
6322	FLOWER	2	8.2462
6506	FLOWER	4.8649	15.785
6544	FLOWER	9.1556	20.26
6561	FLOWER	0.4898	3.2858
6669	FLOWER	21.071	34.922
7092	FLOWER	7.0213	18.545
7137	FLOWER	4.4091	11.451
7302	FLOWER	0.39474	2.125
7476	FLOWER	8	21.695
7559	FLOWER	16.388	29.441
7657	FLOWER	10.531	23.333
7770	FLOWER	4.9184	16.49
7793	FLOWER	18.714	33.458
7797	FLOWER	16.348	30.454
8025	FLOWER	8.7692	24.076
8049	FLOWER	7.1591	19.811
8094	FLOWER	0.77551	2.9316
8419	FLOWER	4.5417	14.672
8438	FLOWER	8.6939	17.543
8468	FLOWER	10.356	22.642
8815	FLOWER	14.043	28.516
8878	FLOWER	14.708	29.358
9012	FLOWER	1.9167	8.5274
10886	FLOWER	6	18.052
11567	FLOWER	2.8542	11.223
12020	FLOWER	3.25	15.041
12265	FLOWER	0.0625	0.31999
12377	FLOWER	2.0612	10.078
15654	FLOWER	0.36735	2.4298
16537	FLOWER	5.3077	17.905
17898	FLOWER	0.020408	0.14286
18467	FLOWER	0.36957	1.6514
21363	FLOWER	3.1087	14.243
27440	FLOWER	0.021277	0.14586
31219	FLOWER	11.238	23.637
31276	FLOWER	10.698	26.064
31283	FLOWER	7.45	20.154
60998	FLOWER	14.568	28.989
61523	FLOWER	11.4	23.116
62089	FLOWER	0.89583	5.392
62351	FLOWER	3.4375	12.396
62465	FLOWER	2.4375	8.7492
251531	FLOWER	23.512	36.128
440917	FLOWER	8.4	22.135
637758	FLOWER	9.2791	21.832
853433	FLOWER	9.8776	22.633
1549025	FLOWER	7.3617	15.096
2733294	FLOWER	7.7872	20.919
5281167	FLOWER	11.653	24.623
5281168	FLOWER	2.7872	12.238
5318599	FLOWER	5.0833	12.049
5352837	FLOWER	8.5833	20.655
5364231	FLOWER	9.0408	20.292
5371102	FLOWER	13.814	27.067
10857465	FLOWER	22.717	30.6
180	CHEMICAL	10.5	18.168
262	CHEMICAL	3.4706	13.23
264	CHEMICAL	14.163	26.31
323	CHEMICAL	12.286	23.974
702	CHEMICAL	4.7083	16.594
750	CHEMICAL	12.571	23.237
753	CHEMICAL	5.2857	18.387
962	CHEMICAL	4.92	18.307
1031	CHEMICAL	8.1	19.679
3102	CHEMICAL	33.583	35.074
3314	CHEMICAL	8.9583	22.13
5862	CHEMICAL	9.1364	22.118
5962	CHEMICAL	37.083	39.823
6274	CHEMICAL	17.667	27.085
6322	CHEMICAL	9.7647	18.72
6506	CHEMICAL	20.081	29.587
6544	CHEMICAL	15.4	30.594
6561	CHEMICAL	33.449	36.46
6669	CHEMICAL	13.262	24.77
7092	CHEMICAL	24.149	30.987
7137	CHEMICAL	5.6818	16.133
7302	CHEMICAL	5.5789	15.759
7476	CHEMICAL	15.429	26.245
7559	CHEMICAL	11.898	23.87
7657	CHEMICAL	17.367	30.65
7770	CHEMICAL	8.5714	20.106
7793	CHEMICAL	21.959	32.378
7797	CHEMICAL	10.217	21.44
8025	CHEMICAL	24.769	33.038
8049	CHEMICAL	6.3182	18.231
8094	CHEMICAL	21.51	31.043
8419	CHEMICAL	10.312	24.765
8438	CHEMICAL	11.469	21.943
8468	CHEMICAL	14.467	26.235
8815	CHEMICAL	11.723	23.019
8878	CHEMICAL	6.3125	15.622
9012	CHEMICAL	19.646	30.493
10886	CHEMICAL	18.562	29.529
11567	CHEMICAL	36.333	38.799
12020	CHEMICAL	23.425	27.93
12265	CHEMICAL	5.4792	16.973
12377	CHEMICAL	9.4286	22.78
15654	CHEMICAL	36.551	37.553
16537	CHEMICAL	17.308	28.01
17898	CHEMICAL	19.306	30.728
18467	CHEMICAL	17.761	28.118
21363	CHEMICAL	11.043	22.594
27440	CHEMICAL	51.66	41.769
31219	CHEMICAL	8.7619	20.05
31276	CHEMICAL	14.581	26.685
31283	CHEMICAL	21.85	33.347
60998	CHEMICAL	12.227	24.056
61523	CHEMICAL	18.244	31.042
62089	CHEMICAL	25.958	32.227
62351	CHEMICAL	7.3333	20.226
62465	CHEMICAL	12.542	22.393
251531	CHEMICAL	17.256	31.094
440917	CHEMICAL	4.4571	12.178
637758	CHEMICAL	16.372	28.926
853433	CHEMICAL	7.5714	19.706
1549025	CHEMICAL	22.702	31.456
2733294	CHEMICAL	15.83	22.953
5281167	CHEMICAL	1.8163	6.1022
5281168	CHEMICAL	20.149	28.156
5318599	CHEMICAL	25.875	34.646
5352837	CHEMICAL	10.479	25.163
5364231	CHEMICAL	8.2245	21.93
5371102	CHEMICAL	16.349	27.428
10857465	CHEMICAL	18.13	31.539
